"","Sierra Leone","Sierra Leone","Sierra Leone","Sierra Leone"
""," Situation report"," Situation report"," Patient database"," Patient database"
""," New"," New"," New"," New"
"Epi week"," Confirmed"," Probable"," Confirmed"," Probable"
"30 December 2013 to 05 January 2014 (2014-W01)","","","",""
"06 to 12 January 2014 (2014-W02)","","","",""
"13 to 19 January 2014 (2014-W03)","","","",""
"20 to 26 January 2014 (2014-W04)","","","",""
"27 January to 02 February 2014 (2014-W05)","","","",""
"03 to 09 February 2014 (2014-W06)","","","",""
"10 to 16 February 2014 (2014-W07)","","","",""
"17 to 23 February 2014 (2014-W08)","","","",""
"24 February to 02 March 2014 (2014-W09)","","","",""
"03 to 09 March 2014 (2014-W10)","","","",""
"10 to 16 March 2014 (2014-W11)","","","",""
"17 to 23 March 2014 (2014-W12)","","","",""
"24 to 30 March 2014 (2014-W13)","","","",""
"31 March to 06 April 2014 (2014-W14)","","","",""
"07 to 13 April 2014 (2014-W15)","","","",""
"14 to 20 April 2014 (2014-W16)","","","",""
"21 to 27 April 2014 (2014-W17)","","","",""
"28 April to 04 May 2014 (2014-W18)","","","",""
"05 to 11 May 2014 (2014-W19)","","","2",""
"12 to 18 May 2014 (2014-W20)","","","",""
"19 to 25 May 2014 (2014-W21)","","","3",""
"26 May to 01 June 2014 (2014-W22)","","","18","2"
"02 to 08 June 2014 (2014-W23)","","","32","6"
"09 to 15 June 2014 (2014-W24)","","","64","8"
"16 to 22 June 2014 (2014-W25)","","","59","3"
"23 to 29 June 2014 (2014-W26)","","","49","5"
"30 June to 06 July 2014 (2014-W27)","","","90","4"
"07 to 13 July 2014 (2014-W28)","","","108","6"
"14 to 20 July 2014 (2014-W29)","","","80","2"
"21 to 27 July 2014 (2014-W30)","","","97","8"
"28 July to 03 August 2014 (2014-W31)","","","144","7"
"04 to 10 August 2014 (2014-W32)","","","135","14"
"11 to 17 August 2014 (2014-W33)","","","125","14"
"18 to 24 August 2014 (2014-W34)","","","175","24"
"25 to 31 August 2014 (2014-W35)","","","187","36"
"01 to 07 September 2014 (2014-W36)","","","212","24"
"08 to 14 September 2014 (2014-W37)","","","228","18"
"15 to 21 September 2014 (2014-W38)","254","0","376","49"
"22 to 28 September 2014 (2014-W39)","350","0","380","39"
"29 September to 05 October 2014 (2014-W40)","315","0","357","57"
"06 to 12 October 2014 (2014-W41)","371","0","344","81"
"13 to 19 October 2014 (2014-W42)","386","0","444","97"
"20 to 26 October 2014 (2014-W43)","399","9","432","113"
"27 October to 02 November 2014 (2014-W44)","435","5","477","141"
"27 October to 09 November 2014 (2014-W45)","421","0","445","146"
"10 to 16 November 2014 (2014-W46)","533","0","434","102"
"17 to 23 November 2014 (2014-W47)","385","0","400","119"
"24 to 30 November 2014 (2014-W48)","537","0","549","103"
"01 to 07 December 2014 (2014-W49)","397","0","351","170"
"08 to 14 December 2014 (2014-W50)","327","0","365","184"
"15 to 21 December 2014 (2014-W51)","315","0","340","133"
"22 to 28 December 2014 (2014-W52)","337","0","371","188"
"29 December 2014 to 04 January 2015 (2015-W01)","248","0","269","145"
"05 to 11 January 2015 (2015-W02)","184","0","142","147"
"12 to 18 January 2015 (2015-W03)","117","0","2","9"
