"","Sierra Leone","Sierra Leone","Sierra Leone","Sierra Leone"
""," WESTERN AREA URBAN"," WESTERN AREA URBAN"," WESTERN AREA URBAN"," WESTERN AREA URBAN"
""," Situation report"," Situation report"," Patient database"," Patient database"
""," New"," New"," New"," New"
"Epi week"," Confirmed"," Probable"," Confirmed"," Probable"
"30 December 2013 to 05 January 2014 (2014-W01)","","","",""
"06 to 12 January 2014 (2014-W02)","","","",""
"13 to 19 January 2014 (2014-W03)","","","",""
"20 to 26 January 2014 (2014-W04)","","","",""
"27 January to 02 February 2014 (2014-W05)","","","",""
"03 to 09 February 2014 (2014-W06)","","","",""
"10 to 16 February 2014 (2014-W07)","","","",""
"17 to 23 February 2014 (2014-W08)","","","",""
"24 February to 02 March 2014 (2014-W09)","","","",""
"03 to 09 March 2014 (2014-W10)","","","",""
"10 to 16 March 2014 (2014-W11)","","","",""
"17 to 23 March 2014 (2014-W12)","","","",""
"24 to 30 March 2014 (2014-W13)","","","",""
"31 March to 06 April 2014 (2014-W14)","","","",""
"07 to 13 April 2014 (2014-W15)","","","",""
"14 to 20 April 2014 (2014-W16)","","","",""
"21 to 27 April 2014 (2014-W17)","","","",""
"28 April to 04 May 2014 (2014-W18)","","","",""
"05 to 11 May 2014 (2014-W19)","","","1",""
"12 to 18 May 2014 (2014-W20)","","","",""
"19 to 25 May 2014 (2014-W21)","","","",""
"26 May to 01 June 2014 (2014-W22)","","","",""
"02 to 08 June 2014 (2014-W23)","","","",""
"09 to 15 June 2014 (2014-W24)","","","",""
"16 to 22 June 2014 (2014-W25)","","","",""
"23 to 29 June 2014 (2014-W26)","","","",""
"30 June to 06 July 2014 (2014-W27)","","","1",""
"07 to 13 July 2014 (2014-W28)","","","2",""
"14 to 20 July 2014 (2014-W29)","","","",""
"21 to 27 July 2014 (2014-W30)","","","1",""
"28 July to 03 August 2014 (2014-W31)","","","",""
"04 to 10 August 2014 (2014-W32)","","","2",""
"11 to 17 August 2014 (2014-W33)","","","4",""
"18 to 24 August 2014 (2014-W34)","","","9",""
"25 to 31 August 2014 (2014-W35)","","","21",""
"01 to 07 September 2014 (2014-W36)","","","28",""
"08 to 14 September 2014 (2014-W37)","","","34","2"
"15 to 21 September 2014 (2014-W38)","51","0","60","5"
"22 to 28 September 2014 (2014-W39)","53","0","46","5"
"29 September to 05 October 2014 (2014-W40)","76","0","58",""
"06 to 12 October 2014 (2014-W41)","77","0","79","2"
"13 to 19 October 2014 (2014-W42)","98","0","81","3"
"20 to 26 October 2014 (2014-W43)","90","2","101","8"
"27 October to 02 November 2014 (2014-W44)","115","0","132","6"
"27 October to 09 November 2014 (2014-W45)","77","0","84","17"
"10 to 16 November 2014 (2014-W46)","168","0","110","32"
"17 to 23 November 2014 (2014-W47)","118","0","99","36"
"24 to 30 November 2014 (2014-W48)","202","0","191","40"
"01 to 07 December 2014 (2014-W49)","133","0","103","30"
"08 to 14 December 2014 (2014-W50)","125","0","94","37"
"15 to 21 December 2014 (2014-W51)","115","0","122","39"
"22 to 28 December 2014 (2014-W52)","149","0","138","37"
"29 December 2014 to 04 January 2015 (2015-W01)","93","0","84","32"
"05 to 11 January 2015 (2015-W02)","59","0","65","23"
"12 to 18 January 2015 (2015-W03)","30","0","",""
